time,F_Tbar,z_Tbar
1.990000,59.537701,-4.701352
2.000000,59.623970,-4.703599
2.010000,59.620316,-4.708136
2.020000,59.615196,-4.706652
2.030000,59.572792,-4.711146
2.040000,59.562557,-4.734509
2.050000,59.537701,-4.749604
2.060000,59.527466,-4.745067
2.070000,59.536972,-4.730735
2.080000,59.565483,-4.722467
2.090000,59.588879,-4.712673
2.100000,59.615929,-4.707373
2.110000,59.605694,-4.708136
2.120000,59.561096,-4.709662
2.130000,59.593994,-4.708899
2.140000,59.656136,-4.704362
2.150000,59.642979,-4.705889
2.160000,59.579372,-4.710383
2.170000,59.567677,-4.719457
2.180000,59.598381,-4.720941
2.190000,59.664909,-4.716446
2.200000,59.631279,-4.706652
2.210000,59.576450,-4.678753
2.220000,59.550861,-4.661411
2.230000,59.563290,-4.650090
2.240000,59.589607,-4.647843
2.250000,59.569138,-4.649327
2.260000,59.549400,-4.650853
2.270000,59.540627,-4.655390
2.280000,59.550861,-4.660648
2.290000,59.582298,-4.667432
2.300000,59.513577,-4.669679
2.310000,59.481407,-4.668958
2.320000,59.545742,-4.671968
2.330000,59.575718,-4.671205
2.340000,59.576450,-4.666668
2.350000,59.558170,-4.659884
2.360000,59.581566,-4.655390
2.370000,59.564751,-4.649327
2.380000,59.591801,-4.647843
2.390000,59.586685,-4.654627
2.400000,59.572063,-4.662174
2.410000,59.566216,-4.663658
2.420000,59.572792,-4.662174
2.430000,59.541359,-4.661411
2.440000,59.484333,-4.661411
2.450000,59.491642,-4.659884
2.460000,59.553787,-4.664421
2.470000,59.598381,-4.670442
2.480000,59.602036,-4.672732
2.490000,59.610081,-4.670442
2.500000,59.610081,-4.665948
2.510000,59.597649,-4.665948
2.520000,59.549400,-4.669679
2.530000,59.489452,-4.674216
2.540000,59.508457,-4.672732
2.550000,59.556709,-4.665184
2.560000,59.588879,-4.665948
2.570000,59.534046,-4.669679
2.580000,59.517963,-4.673452
2.590000,59.534779,-4.663658
2.600000,59.627625,-4.656874
2.610000,59.642979,-4.650090
2.620000,59.621777,-4.628254
2.630000,59.583031,-4.635759
2.640000,59.629086,-4.656111
2.650000,59.608616,-4.664421
2.660000,59.538433,-4.663658
2.670000,59.502609,-4.657637
2.680000,59.551594,-4.656111
2.690000,59.648827,-4.659164
2.700000,59.651749,-4.666668
2.710000,59.594727,-4.700589
2.720000,59.542820,-4.730015
2.730000,59.560364,-4.736035
2.740000,59.584492,-4.742056
2.750000,59.561829,-4.748077
2.760000,59.494568,-4.739046
2.770000,59.469711,-4.729251
2.780000,59.523811,-4.711146
2.790000,59.569138,-4.692321
2.800000,59.564022,-4.712673
2.810000,59.522350,-4.727725
2.820000,59.532585,-4.722467
2.830000,59.585953,-4.717167
2.840000,59.630550,-4.726241
2.850000,59.606422,-4.730735
2.860000,59.585220,-4.727725
2.870000,59.601307,-4.720220
2.880000,59.594727,-4.717930
2.890000,59.580837,-4.714920
2.900000,59.570599,-4.716446
2.910000,59.595459,-4.718694
2.920000,59.588879,-4.726241
2.930000,59.634937,-4.733025
2.940000,59.609348,-4.733025
2.950000,59.553055,-4.731499
2.960000,59.547207,-4.736799
2.970000,59.613735,-4.745067
2.980000,59.607155,-4.746593
2.990000,59.555248,-4.747356
